sample,Marker_Sets,NMFS_DNA_ID,Sample_ID,Sample_Name,Sample_Project,fq1,fq2
s00001,DIANA,UW-046065,UW-046065,UW-046065,REBS_stock_assessment,UW-046065_S1_L001_R1_001.fastq.gz,UW-046065_S1_L001_R2_001.fastq.gz
s00002,DIANA,UW-111548,UW-111548,UW-111548,REBS_stock_assessment,UW-111548_S2_L001_R1_001.fastq.gz,UW-111548_S2_L001_R2_001.fastq.gz
s00003,DIANA,UW-111549,UW-111549,UW-111549,REBS_stock_assessment,UW-111549_S3_L001_R1_001.fastq.gz,UW-111549_S3_L001_R2_001.fastq.gz
s00004,DIANA,UW-114037,UW-114037,UW-114037,REBS_stock_assessment,UW-114037_S4_L001_R1_001.fastq.gz,UW-114037_S4_L001_R2_001.fastq.gz
s00005,DIANA,UW-114780,UW-114780,UW-114780,REBS_stock_assessment,UW-114780_S5_L001_R1_001.fastq.gz,UW-114780_S5_L001_R2_001.fastq.gz
s00006,DIANA,UW-116485,UW-116485,UW-116485,REBS_stock_assessment,UW-116485_S6_L001_R1_001.fastq.gz,UW-116485_S6_L001_R2_001.fastq.gz
s00007,DIANA,UW-116488,UW-116488,UW-116488,REBS_stock_assessment,UW-116488_S7_L001_R1_001.fastq.gz,UW-116488_S7_L001_R2_001.fastq.gz
s00008,DIANA,UW-116550,UW-116550,UW-116550,REBS_stock_assessment,UW-116550_S8_L001_R1_001.fastq.gz,UW-116550_S8_L001_R2_001.fastq.gz
s00009,DIANA,UW-116949,UW-116949,UW-116949,REBS_stock_assessment,UW-116949_S9_L001_R1_001.fastq.gz,UW-116949_S9_L001_R2_001.fastq.gz
s00010,DIANA,UW-119462,UW-119462,UW-119462,REBS_stock_assessment,UW-119462_S10_L001_R1_001.fastq.gz,UW-119462_S10_L001_R2_001.fastq.gz
s00011,DIANA,UW-119467,UW-119467,UW-119467,REBS_stock_assessment,UW-119467_S11_L001_R1_001.fastq.gz,UW-119467_S11_L001_R2_001.fastq.gz
