sample,Markers
s00001,DIANA
s00002,DIANA
s00003,DIANA
s00004,DIANA
s00005,DIANA
s00006,DIANA
s00007,DIANA
s00008,DIANA
s00009,DIANA
s00010,DIANA
s00011,DIANA
s00012,DIANA
s00013,DIANA
s00014,DIANA
s00015,DIANA
s00016,DIANA
s00017,DIANA
s00018,DIANA
s00019,DIANA
s00020,DIANA
s00021,DIANA
s00022,DIANA
s00023,DIANA
s00024,DIANA
s00025,DIANA
s00026,DIANA
s00027,DIANA
s00028,DIANA
s00029,DIANA
s00030,DIANA
s00031,DIANA
s00032,DIANA
s00033,DIANA
s00034,DIANA
s00035,DIANA
s00036,DIANA
s00037,DIANA
s00038,DIANA
s00039,DIANA
s00040,DIANA
s00041,DIANA
s00042,DIANA
s00043,DIANA
s00044,DIANA
s00045,DIANA
s00046,DIANA
s00047,DIANA
s00049,DIANA
s00050,DIANA
s00051,DIANA
s00052,DIANA
s00053,DIANA
s00054,DIANA
s00055,DIANA
s00056,DIANA
s00057,DIANA
s00058,DIANA
s00059,DIANA
s00060,DIANA
s00061,DIANA
s00062,DIANA
s00063,DIANA
s00064,DIANA
s00065,DIANA
s00066,DIANA
s00067,DIANA
s00068,DIANA
s00069,DIANA
s00070,DIANA
s00071,DIANA
s00072,DIANA
s00073,DIANA
s00074,DIANA
s00075,DIANA
s00076,DIANA
s00077,DIANA
s00078,DIANA
s00079,DIANA
s00080,DIANA
s00081,DIANA
s00082,DIANA
s00083,DIANA
s00084,DIANA
s00085,DIANA
s00086,DIANA
s00087,DIANA
s00088,DIANA
s00089,DIANA
s00090,DIANA
s00091,DIANA
s00092,DIANA
s00093,DIANA
s00094,DIANA
s00095,DIANA
s00096,DIANA
s00097,DIANA
s00098,DIANA
s00099,DIANA
s00100,DIANA
s00101,DIANA
s00102,DIANA
s00103,DIANA
s00104,DIANA
s00105,DIANA
s00106,DIANA
s00107,DIANA
s00108,DIANA
s00109,DIANA
s00110,DIANA
s00111,DIANA
s00112,DIANA
s00113,DIANA
s00114,DIANA
s00115,DIANA
s00116,DIANA
s00117,DIANA
s00118,DIANA
s00119,DIANA
s00120,DIANA
s00121,DIANA
s00122,DIANA
s00123,DIANA
s00124,DIANA
s00125,DIANA
s00126,DIANA
s00127,DIANA
s00128,DIANA
s00129,DIANA
s00130,DIANA
s00131,DIANA
s00132,DIANA
s00133,DIANA
s00134,DIANA
s00135,DIANA
s00136,DIANA
s00137,DIANA
s00138,DIANA
s00139,DIANA
s00140,DIANA
s00141,DIANA
s00142,DIANA
s00143,DIANA
s00144,DIANA
s00145,DIANA
s00146,DIANA
s00147,DIANA
s00148,DIANA
s00149,DIANA
s00150,DIANA
s00151,DIANA
s00152,DIANA
s00153,DIANA
s00154,DIANA
s00155,DIANA
s00156,DIANA
s00157,DIANA
s00158,DIANA
s00159,DIANA
s00160,DIANA
s00161,DIANA
s00162,DIANA
s00163,DIANA
s00164,DIANA
s00165,DIANA
s00166,DIANA
s00167,DIANA
s00168,DIANA
s00169,DIANA
s00170,DIANA
s00171,DIANA
s00172,DIANA
s00173,DIANA
s00174,DIANA
s00175,DIANA
s00176,DIANA
s00177,DIANA
s00178,DIANA
s00179,DIANA
s00180,DIANA
s00181,DIANA
s00182,DIANA
s00183,DIANA
s00184,DIANA
s00185,DIANA
s00186,DIANA
s00187,DIANA
s00188,DIANA
s00189,DIANA
s00190,DIANA
s00191,DIANA
s00192,DIANA
s00193,DIANA
s00194,DIANA
s00195,DIANA
s00196,DIANA
s00197,DIANA
s00198,DIANA
s00199,DIANA
s00200,DIANA
s00201,DIANA
s00202,DIANA
s00203,DIANA
s00204,DIANA
s00205,DIANA
s00206,DIANA
s00207,DIANA
s00208,DIANA
s00209,DIANA
s00210,DIANA
s00211,DIANA
s00212,DIANA
s00213,DIANA
s00214,DIANA
s00215,DIANA
s00216,DIANA
s00217,DIANA
s00218,DIANA
